Specimen Collection Date,New Cases,Cumulative Cases,Data As Of,Data Loaded At
12/11/2020 12:00:00 AM,315,19270,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
12/14/2020 12:00:00 AM,374,19974,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
12/17/2020 12:00:00 AM,309,21011,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
12/20/2020 12:00:00 AM,104,21541,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
12/23/2020 12:00:00 AM,291,22491,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
12/26/2020 12:00:00 AM,221,23014,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
12/29/2020 12:00:00 AM,439,24002,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
01/01/2021 12:00:00 AM,67,24722,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
01/04/2021 12:00:00 AM,559,25693,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
01/07/2021 12:00:00 AM,443,26972,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
01/10/2021 12:00:00 AM,118,27676,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
01/13/2021 12:00:00 AM,316,28711,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
01/16/2021 12:00:00 AM,157,29485,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
01/19/2021 12:00:00 AM,215,29993,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
01/22/2021 12:00:00 AM,207,30642,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
01/25/2021 12:00:00 AM,196,31037,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
01/28/2021 12:00:00 AM,149,31476,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
01/31/2021 12:00:00 AM,89,31849,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
02/03/2021 12:00:00 AM,187,32351,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
02/06/2021 12:00:00 AM,83,32756,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
02/09/2021 12:00:00 AM,106,33051,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
02/12/2021 12:00:00 AM,90,33362,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
02/15/2021 12:00:00 AM,71,33520,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
02/18/2021 12:00:00 AM,89,33776,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
02/21/2021 12:00:00 AM,37,33917,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
02/24/2021 12:00:00 AM,56,34130,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
02/27/2021 12:00:00 AM,22,34258,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
03/02/2021 12:00:00 AM,41,34375,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
